OPTIONS:60,True,True,Feet,15
HOME:29.036792,-81.027174,150
38.145328, -76.428639, 200
38.148261, -76.429108, 250
38.149839, -76.429708, 350
38.149894, -76.431147, 450
38.149250, -76.432322, 500
38.148217, -76.431275, 500
38.147183, -76.430228, 200
38.146133, -76.429158, 200
38.144333, -76.428964, 200
38.144039, -76.429634, 200
38.144541, -76.431092, 200
38.143221, -76.434280, 200
38.142891, -76.434014, 200
38.144607, -76.429022, 200
38.144308, -76.428757, 200
38.142636, -76.433800, 200
38.142396, -76.433654, 200
38.144394, -76.428134, 200
38.144164, -76.427890, 200
38.142166, -76.433373, 200
38.141887, -76.433165, 200
38.144260, -76.426827, 200
38.143895, -76.426534, 200
38.141484, -76.432848, 200
38.141052, -76.432518, 200
38.143837, -76.425850, 200
38.143530, -76.425581, 200
38.141964, -76.429038, 200
38.141743, -76.428622, 200
38.143213, -76.425349, 200
38.142925, -76.425081, 200
38.141484, -76.428280, 200
38.141186, -76.427829, 200
38.142617, -76.424812, 200
38.142329, -76.424543, 200
38.140965, -76.427328, 200
38.140687, -76.426913, 200
38.142051, -76.424299, 200
38.141772, -76.424079, 200
38.140303, -76.426265, 200
38.143358, -76.429119, 200
38.144333, -76.428964, 200
38.145395, -76.428722, 150
38.146848, -76.430175, 100
38.146667, -76.430687, 70
38.145219, -76.429399, 0
